Age Group,Gender,Education Level,Occupation,Monthly Income (₹),Area of Residence in Mumbai,How often do you shop for consumer products?,Which type of products do you generally prefer?,For which product categories do you prefer branded products?,"When buying clothes (e.g., Zudio, Pantaloons vs local street shops), what do you usually prefer?"," For groceries (e.g., packaged brands vs local kirana stores in Mumbai), what do you prefer?","For electronics (e.g., mobile phones, earphones), which do you trust more?","What factors influence your purchase decision the most?
(Select up to 3)",Branded products offer better quality than unbranded products., Unbranded products are value for money., Do you believe branded products reflect social status?, I feel more confident using branded products in social situations., People in Mumbai are influenced by brand image while shopping.,Social media and advertisements influence my choice of branded products.," Local markets in Mumbai (e.g., street markets, local shops) influence my decision to buy unbranded products.",Shopping malls and branded stores in Mumbai influence my preference for branded products.,Rising cost of living in Mumbai makes me more price-conscious while shopping.,"In your opinion, what best describes your buying behaviour?"
21–30,male,Undergraduate,Student,Not applicable,Navi Mumbai,Very frequently,Mostly branded,"Clothing, Electronics, Personal care products, Footwear",Branded stores only,Depends on availability,Branded products,"Price, Quality, Social status",Agree,Agree,Yes,Agree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly agree,Depends on the situation
21–30,male,Undergraduate,Student,Not applicable,Central Suburbs,Rarely,Mostly unbranded,"Electronics, Personal care products",Local / unbranded shops only,Mostly local/unbranded products,Branded products,"Quality, Advertisement, Recommendations from others",Strongly Agree,Strongly agree,No,Strongly Agree,Strongly agree,Strongly Disagree,Agree,Strongly agree,Strongly agree,Smart spender (value-oriented)
Below 20,male,Undergraduate,Student,Not applicable,Navi Mumbai,Very frequently,Depends on the product,"Clothing, Electronics, Personal care products",Depends on price and occasion,Both equally,Branded products,"Price, Quality, Advertisement",Neutral,Agree,Yes,Strongly Agree,Strongly agree,Strongly Agree,Agree,Disagree,Neutral,Combination of both
21–30,female,Undergraduate,Student,Not applicable,Western Suburbs,Frequently,Both,"Clothing, Electronics",Both,Both equally,Depends on warranty and price,"Price, Quality, Brand name",Agree,Strongly agree,Sometimes,Agree,Agree,Agree,Agree,Agree,Strongly agree,Smart spender (value-oriented)
31–40,male,Postgraduate,Salaried employee,"40,001 – 60,000",Central Suburbs,Very frequently,Mostly branded,"Electronics, Footwear",Branded stores only,Mostly branded packaged products,Branded products,"Quality, Brand name, Social status",Strongly Agree,Agree,Yes,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly disagree,Neutral,Status-oriented buyer
Below 20,female,Undergraduate,Homemaker,"Below 20,000",South Mumbai,Occasionally,Mostly unbranded,"Personal care products, Groceries",Local / unbranded shops only,Mostly local/unbranded products,Unbranded / local products,"Price, Advertisement, Recommendations from others",Disagree,Disagree,No,Disagree,Strongly disagree,Disagree,Strongly Agree,Strongly disagree,Strongly agree,Smart spender (value-oriented)
41–50,male,Postgraduate,Self-employed / Business,"20,001 – 40,000",Navi Mumbai,Frequently,Mostly branded,"Electronics, Footwear",Branded stores only,Mostly branded packaged products,Branded products,"Quality, Brand name, Social status",Strongly Agree,Strongly agree,Yes,Strongly Agree,Strongly agree,Strongly Agree,Disagree,Agree,Strongly agree,Status-oriented buyer
Above 50,male,Professional qualification,Salaried employee,"Above 60,000",Thane,Occasionally,Depends on the product,Clothing,Depends on price and occasion,Depends on availability,both,"Price, Quality, Advertisement",Neutral,Neutral,Maybe,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Combination of both
21–30,female,Undergraduate,Salaried employee,"20,001 – 40,000",Western Suburbs,Frequently,Both,"Clothing, Personal care products",Both,Both equally,Depends on warranty and price,"Price, Quality",Agree,Strongly agree,Sometimes,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Combination of both
31–40,male,Postgraduate,Self-employed / Business,"40,001 – 60,000",Central Suburbs,Very frequently,Mostly branded,"Electronics, Footwear",Branded stores only,Mostly branded packaged products,Branded products,"Quality, Brand name, Social status",Strongly Agree,Agree,Yes,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Status-oriented buyer
Below 20,female,Undergraduate,Student,"Below 20,000",Navi Mumbai,Occasionally,Mostly unbranded,Groceries,Local / unbranded shops only,Mostly local/unbranded products,Depends on warranty and price,"Price, Recommendations from others",Neutral,Strongly agree,No,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly agree,Smart spender (value-oriented)
41–50,male,Professional qualification,Salaried employee,"Above 60,000",South Mumbai,Very frequently,Mostly branded,"Clothing, Personal care products, Footwear",Branded stores only,Mostly branded packaged products,Branded products,"Quality, Brand name, Social status",Strongly Agree,Disagree,Yes,Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Neutral,Status-oriented buyer
41–50,female,Undergraduate,Homemaker,"40,001 – 60,000",Thane,Frequently,Depends on the product,"Clothing, Groceries",Depends on price and occasion,Both equally,Depends on warranty and price,"Price, Quality, Recommendations from others",Agree,Agree,Sometimes,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Combination of both
21–30,male,Undergraduate,Salaried employee,"40,001 – 60,000",South Mumbai,Very frequently,Depends on the product,"Clothing, Electronics",Both,Mostly branded packaged products,Depends on warranty and price,"Price, Social status",Strongly Agree,Strongly agree,Yes,Agree,Agree,Disagree,Strongly Agree,Strongly agree,Strongly agree,Combination of both
31–40,male,Postgraduate,Salaried employee,"20,001 – 40,000",Central Suburbs,Very frequently,Both,Electronics,Both,Both equally,both,"Price, Social status, Advertisement",Strongly Agree,Strongly agree,Yes,Disagree,Strongly agree,Neutral,Strongly Agree,Strongly disagree,Strongly agree,Smart spender (value-oriented)
31–40,male,Professional qualification,Salaried employee,"Above 60,000",South Mumbai,Very frequently,Mostly branded,"Clothing, Electronics, Personal care products, Footwear, Groceries",Branded stores only,Both equally,Branded products,"Price, Advertisement, Recommendations from others",Strongly Agree,Neutral,Sometimes,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Combination of both
